customer_id,signup_date,acquisition_channel,region
64,2026-03-13,Meta,US
65,2026-05-07,Google,US
66,2026-04-10,Google,UK
67,2026-07-21,Google,US
68,2026-06-19,Meta,EU
69,2026-07-14,Google,US
70,2026-06-28,Google,AU
71,2026-04-30,Meta,US
72,2026-06-16,Google,UK
73,2026-05-11,Google,US
74,2026-05-31,Google,CA
75,2026-03-13,Google,AU
76,2026-06-06,Affiliate,US
77,2026-07-18,Google,CA
78,2026-05-14,TikTok,US
79,2026-04-28,Meta,EU
80,2026-06-24,Google,US
81,2026-03-03,Google,UK
82,2026-05-09,Meta,US
83,2026-07-26,Google,UK
84,2026-05-16,Affiliate,EU
85,2026-05-18,Organic/Direct,US
86,2026-04-24,Meta,US
87,2026-05-31,Meta,US
88,2026-07-14,Meta,US
89,2026-03-13,Meta,US
90,2026-05-19,Google,CA
91,2026-06-16,TikTok,US
92,2026-06-14,Google,UK
93,2026-01-02,Meta,US
94,2026-01-17,Affiliate,US
95,2026-05-14,Meta,UK
96,2026-02-06,Meta,US
97,2026-05-04,Meta,UK
98,2026-07-05,Google,US
99,2026-01-20,Meta,US
100,2026-05-21,Google,US
101,2026-05-16,Meta,US
102,2026-05-04,Meta,UK
103,2026-06-12,Google,US
104,2026-04-10,Organic/Direct,US
105,2026-04-06,Organic/Direct,CA
106,2026-07-04,Meta,US
107,2026-05-29,Google,US
108,2026-06-03,Meta,US
109,2026-06-22,Meta,US
110,2026-07-01,Google,US
111,2026-02-05,Google,UK
112,2026-05-17,Meta,US
113,2026-05-01,Affiliate,US
114,2026-07-12,Organic/Direct,US
115,2026-07-13,Meta,US
116,2026-06-02,Google,US
117,2026-05-03,Meta,US
118,2026-05-31,Meta,US
119,2026-07-20,Meta,UK
120,2026-07-10,Affiliate,US
121,2026-03-22,Meta,US
122,2026-07-03,Google,US
123,2026-07-05,Google,CA
124,2026-07-03,Google,AU
125,2026-06-08,Google,UK
126,2026-07-16,Google,US
127,2026-02-25,Meta,US
128,2026-02-20,Meta,US
129,2026-02-20,Meta,AU
130,2026-07-15,Google,US
131,2026-05-24,Google,CA
132,2026-07-19,Google,CA
133,2026-06-20,Meta,US
134,2026-03-23,Meta,US
135,2026-07-20,Meta,UK
136,2026-05-30,Meta,US
137,2026-05-20,Google,US
138,2026-03-26,Meta,US
139,2026-05-15,Meta,US
140,2026-07-07,Google,US
141,2026-03-06,TikTok,US
142,2026-06-29,Google,AU
143,2026-07-17,Meta,US
144,2026-03-21,Meta,EU
145,2026-06-26,Google,US
146,2026-07-24,Meta,US
147,2026-07-07,Affiliate,UK
148,2026-07-12,TikTok,UK
149,2026-06-03,Google,US
150,2026-05-07,Meta,US
151,2026-04-08,Organic/Direct,US
152,2026-04-11,Meta,US
153,2026-07-13,Meta,CA
154,2026-07-12,Affiliate,US
155,2026-05-03,TikTok,US
156,2026-05-10,Meta,CA
157,2026-07-05,Affiliate,US
158,2026-05-20,Google,UK
159,2026-04-13,Google,US
160,2026-07-02,Google,US
161,2026-04-28,Affiliate,US
162,2026-07-12,Meta,EU
163,2026-07-29,Google,US
164,2026-05-11,Google,EU
165,2026-07-10,Affiliate,US
166,2026-04-16,Google,AU
167,2026-06-07,Meta,CA
168,2026-07-14,Meta,CA
169,2026-04-21,Organic/Direct,US
170,2026-05-20,Organic/Direct,US
171,2026-05-22,Meta,US
172,2026-02-18,Meta,EU
173,2026-05-10,Meta,EU
174,2026-07-13,Google,CA
175,2026-03-20,Meta,CA
176,2026-06-26,Meta,UK
177,2026-05-22,Meta,US
178,2026-04-17,Affiliate,US
179,2026-06-29,Google,US
180,2026-04-24,Meta,US
181,2026-05-17,TikTok,US
182,2026-03-12,Organic/Direct,US
183,2026-01-28,Google,US
184,2026-03-21,Google,US
185,2026-04-14,Google,UK
186,2026-03-03,Organic/Direct,US
187,2026-06-03,Google,EU
188,2026-06-07,Google,US
189,2026-06-18,Organic/Direct,US
190,2026-01-27,TikTok,US
191,2026-06-30,Google,CA
192,2026-06-30,Meta,US
193,2026-06-05,Affiliate,US
194,2026-07-06,Google,UK
195,2026-06-17,Affiliate,US
196,2026-07-05,Google,US
197,2026-02-03,Meta,US
198,2026-05-14,Affiliate,US
199,2026-02-10,Meta,AU
200,2026-02-16,Meta,CA
201,2026-05-20,Google,US
202,2026-07-26,Meta,US
203,2026-06-25,Meta,CA
204,2026-04-19,Meta,US
205,2026-05-19,Organic/Direct,US
206,2026-04-25,Meta,US
207,2026-04-25,Google,UK
208,2026-03-28,Google,US
209,2026-06-29,Organic/Direct,US
210,2026-05-20,Google,CA
211,2026-02-20,Google,US
212,2026-07-02,Meta,US
213,2026-07-14,TikTok,US
214,2026-03-16,Meta,UK
215,2026-05-07,Organic/Direct,US
216,2026-03-24,Google,US
217,2026-05-21,Meta,US
218,2026-05-08,Meta,US
219,2026-07-26,Meta,US
220,2026-06-01,Organic/Direct,US
221,2026-07-05,TikTok,US
222,2026-06-15,TikTok,EU
223,2026-04-05,Meta,US
224,2026-03-29,TikTok,EU
225,2026-07-09,Organic/Direct,EU
226,2026-06-22,TikTok,US
227,2026-04-24,Meta,US
228,2026-06-27,TikTok,US
229,2026-05-07,Meta,EU
230,2026-07-07,Meta,US
231,2026-05-07,Google,US
232,2026-07-29,Meta,AU
233,2026-01-23,TikTok,US
234,2026-07-05,Affiliate,US
235,2026-07-28,Google,US
236,2026-06-24,Meta,AU
237,2026-07-06,Google,US
238,2026-07-27,Google,AU
239,2026-02-05,Meta,US
240,2026-07-23,Meta,EU
241,2026-06-01,Meta,US
242,2026-04-04,Organic/Direct,US
243,2026-06-16,Google,US
244,2026-06-18,Google,US
245,2026-03-29,Google,AU
246,2026-05-03,Organic/Direct,US
247,2026-07-16,Meta,EU
248,2026-07-05,Meta,US
249,2026-06-09,Google,US
250,2026-07-18,Google,UK
251,2026-04-26,Meta,CA
252,2026-05-15,Google,UK
253,2026-03-25,Google,US
254,2026-05-04,Meta,AU
255,2026-04-30,Organic/Direct,US
256,2026-05-14,TikTok,US
257,2026-03-10,Meta,US
258,2026-05-22,Meta,US
259,2026-07-25,Affiliate,US
260,2026-07-27,Organic/Direct,CA
261,2026-07-23,TikTok,US
262,2026-03-26,Organic/Direct,US
263,2026-07-17,Google,US
264,2026-05-13,Google,US
265,2026-06-11,Meta,US
266,2026-06-13,Affiliate,UK
267,2026-04-23,Meta,US
268,2026-03-19,Meta,US
269,2026-05-14,Meta,US
270,2026-06-08,Meta,US
271,2026-05-12,Google,US
272,2026-07-11,Google,US
273,2026-03-17,Meta,US
274,2026-07-29,Google,US
275,2026-03-22,Google,US
276,2026-01-11,Meta,US
277,2026-05-23,Google,US
278,2026-05-01,Google,US
279,2026-07-30,TikTok,US
280,2026-05-03,Affiliate,US
281,2026-06-27,Meta,CA
282,2026-05-09,TikTok,EU
283,2026-06-11,TikTok,UK
284,2026-06-25,Meta,US
285,2026-07-27,TikTok,CA
286,2026-06-10,TikTok,US
287,2026-03-29,Google,US
288,2026-07-13,Meta,UK
289,2026-02-07,Meta,US
290,2026-04-29,Meta,UK
291,2026-05-16,TikTok,AU
292,2026-07-17,TikTok,US
293,2026-03-20,Meta,US
294,2026-06-21,Google,US
295,2026-03-29,Organic/Direct,US
296,2026-05-06,TikTok,UK
297,2026-06-19,TikTok,US
298,2026-04-03,Meta,US
299,2026-04-11,Organic/Direct,US
300,2026-04-24,Meta,UK
301,2026-04-29,Meta,EU
302,2026-07-08,Meta,US
303,2026-06-23,Meta,EU
304,2026-07-10,Organic/Direct,CA
305,2026-04-24,Meta,UK
306,2026-05-05,Google,US
307,2026-05-27,Meta,US
308,2026-07-23,TikTok,US
309,2026-06-15,Google,US
310,2026-06-22,Google,UK
311,2026-02-18,TikTok,US
312,2026-07-05,Meta,US
313,2026-07-23,Google,EU
314,2026-07-17,Google,US
315,2026-07-27,Meta,UK
316,2026-07-21,Meta,US
317,2026-06-04,TikTok,EU
318,2026-07-21,Meta,AU
319,2026-03-30,Organic/Direct,EU
320,2026-05-13,Google,EU
321,2026-07-26,Organic/Direct,AU
322,2026-01-21,Google,US
323,2026-07-29,Meta,EU
324,2026-06-05,Google,EU
325,2026-07-14,Google,US
326,2026-03-12,Meta,US
327,2026-04-18,Meta,UK
328,2026-07-07,Google,CA
329,2026-03-30,Affiliate,AU
330,2026-07-11,Google,US
331,2026-06-22,Meta,US
332,2026-05-01,Meta,US
333,2026-04-13,TikTok,EU
334,2026-04-26,TikTok,US
335,2026-06-20,TikTok,US
336,2026-03-14,Meta,US
337,2026-05-30,Affiliate,UK
338,2026-04-28,Meta,AU
339,2026-04-25,Google,US
340,2026-03-19,Meta,UK
341,2026-06-14,Google,US
342,2026-05-25,Google,UK
343,2026-04-09,Meta,CA
344,2026-07-17,Meta,US
345,2026-06-27,Meta,US
346,2026-02-22,Google,US
347,2026-03-23,Meta,US
348,2026-03-13,Meta,US
349,2026-03-05,Google,CA
350,2026-05-23,Google,US
351,2026-02-20,Affiliate,UK
352,2026-05-13,Affiliate,UK
353,2026-06-10,Meta,US
354,2026-02-23,Organic/Direct,US
355,2026-07-23,Meta,US
356,2026-07-05,TikTok,EU
357,2026-06-19,Google,EU
358,2026-05-11,Affiliate,AU
359,2026-05-10,TikTok,UK
360,2026-06-04,Google,US
361,2026-03-31,Google,US
362,2026-06-30,Meta,US
363,2026-01-01,TikTok,US
364,2026-05-10,Meta,US
365,2026-03-25,Meta,AU
366,2026-07-04,Meta,UK
367,2026-06-15,Organic/Direct,AU
368,2026-04-14,Meta,US
369,2026-05-21,TikTok,AU
370,2026-04-15,Meta,US
371,2026-06-05,TikTok,CA
372,2026-03-20,Organic/Direct,US
373,2026-07-21,Google,US
374,2026-07-05,Affiliate,US
375,2026-07-17,Organic/Direct,US
376,2026-05-16,Meta,US
377,2026-06-12,TikTok,US
378,2026-06-23,Google,US
379,2026-05-04,Google,US
380,2026-06-02,TikTok,US
381,2026-04-26,Meta,US
382,2026-04-14,Meta,AU
383,2026-03-22,Google,US
384,2026-05-16,Google,US
385,2026-05-12,Meta,US
386,2026-03-01,Google,US
387,2026-06-04,Affiliate,US
388,2026-05-10,Google,US
389,2026-02-26,Google,UK
390,2026-04-09,Meta,AU
391,2026-04-27,Organic/Direct,US
392,2026-04-02,TikTok,UK
393,2026-07-03,Organic/Direct,UK
394,2026-06-27,Google,US
395,2026-04-30,Meta,US
396,2026-06-19,Meta,US
397,2026-07-18,Google,CA
398,2026-06-29,TikTok,US
399,2026-04-06,Meta,US
400,2026-07-16,TikTok,US
401,2026-06-06,Google,UK
402,2026-04-25,Meta,US
403,2026-06-09,Meta,US
404,2026-07-24,Meta,CA
405,2026-05-28,TikTok,UK
406,2026-05-24,TikTok,US
407,2026-03-20,Google,US
408,2026-07-18,Organic/Direct,EU
409,2026-06-02,Affiliate,US
410,2026-07-10,Meta,US
411,2026-03-20,Google,US
412,2026-03-23,Meta,US
413,2026-02-21,Organic/Direct,AU
414,2026-06-21,Meta,US
415,2026-05-16,Meta,UK
416,2026-06-04,Meta,US
417,2026-06-26,Google,EU
418,2026-03-31,Organic/Direct,US
419,2026-04-14,Google,US
420,2026-05-06,TikTok,US
421,2026-07-26,Google,US
422,2026-06-26,Meta,CA
423,2026-03-01,Organic/Direct,UK
424,2026-02-07,Meta,US
425,2026-06-18,TikTok,US
426,2026-07-13,Google,US
427,2026-07-28,Organic/Direct,AU
428,2026-07-22,Meta,AU
429,2026-06-25,Google,US
430,2026-07-22,TikTok,US
431,2026-06-05,Google,US
432,2026-07-14,Meta,US
433,2026-03-22,Affiliate,CA
434,2026-07-23,Meta,US
435,2026-06-08,Affiliate,UK
436,2026-06-05,Google,UK
437,2026-07-07,TikTok,US
438,2026-07-02,Meta,US
439,2026-04-12,Meta,US
440,2026-06-15,Google,EU
441,2026-05-01,Google,CA
442,2026-05-22,Meta,US
443,2026-05-10,Meta,US
444,2026-05-11,TikTok,US
445,2026-04-15,Meta,US
446,2026-05-11,TikTok,US
447,2026-05-12,Meta,US
448,2026-07-24,Google,CA
449,2026-03-09,Meta,US
450,2026-06-07,Google,US
451,2026-03-05,Google,US
452,2026-07-06,Affiliate,US
453,2026-05-16,TikTok,UK
454,2026-06-07,Organic/Direct,US
455,2026-06-02,TikTok,US
456,2026-04-20,Meta,US
457,2026-03-28,Meta,US
458,2026-07-06,Meta,EU
459,2026-06-29,Google,US
460,2026-05-23,Meta,US
461,2026-05-13,Affiliate,US
462,2026-07-15,Google,US
463,2026-07-11,Google,US
464,2026-04-26,Google,UK
465,2026-05-27,Meta,US
466,2026-04-30,TikTok,UK
467,2026-07-27,TikTok,US
468,2026-04-22,TikTok,US
469,2026-07-23,Meta,EU
470,2026-03-31,TikTok,US
471,2026-06-29,Organic/Direct,US
472,2026-07-08,Affiliate,US
473,2026-07-14,TikTok,UK
474,2026-03-20,Meta,US
475,2026-03-24,Google,US
476,2026-05-22,Google,US
477,2026-06-04,Organic/Direct,AU
478,2026-05-17,Meta,EU
479,2026-06-26,Affiliate,US
480,2026-07-21,Meta,US
481,2026-06-22,Meta,US
482,2026-06-08,Google,UK
483,2026-07-27,Meta,CA
484,2026-03-10,Meta,US
485,2026-07-02,Google,UK
486,2026-04-10,Meta,US
487,2026-06-23,TikTok,US
488,2026-07-30,Google,US
489,2026-07-22,Meta,CA
490,2026-06-30,Meta,US
491,2026-07-06,Google,US
492,2026-03-07,TikTok,US
493,2026-01-23,Meta,CA
494,2026-06-19,TikTok,US
495,2026-07-29,Meta,US
496,2026-03-26,Google,EU
497,2026-04-12,Google,US
498,2026-06-18,Google,US
499,2026-06-15,Meta,US
500,2026-05-12,TikTok,US
501,2026-07-03,Affiliate,US
502,2026-03-09,Affiliate,US
503,2026-05-01,Google,US
504,2026-07-15,Google,UK
505,2026-06-13,Google,US
506,2026-05-05,Affiliate,US
507,2026-07-10,TikTok,US
508,2026-06-15,Meta,US
509,2026-03-14,Meta,US
510,2026-06-25,Google,US
511,2026-03-20,Google,US
512,2026-06-18,TikTok,UK
513,2026-07-30,Google,US
514,2026-03-21,Meta,US
515,2026-02-08,Google,US
516,2026-05-11,Google,UK
517,2026-05-15,Google,UK
518,2026-05-21,Meta,US
519,2026-07-08,Meta,US
520,2026-04-11,Meta,CA
521,2026-06-08,TikTok,US
522,2026-05-31,Google,US
523,2026-06-05,Organic/Direct,US
524,2026-07-03,TikTok,US
525,2026-04-09,Google,UK
526,2026-06-20,Meta,AU
527,2026-01-01,Affiliate,US
528,2026-07-30,TikTok,US
529,2026-07-09,Google,US
530,2026-06-27,Google,US
531,2026-03-20,Meta,US
532,2026-02-03,Google,US
533,2026-07-28,Meta,US
534,2026-07-25,Google,AU
535,2026-07-10,Meta,CA
536,2026-05-16,Meta,US
537,2026-06-20,TikTok,US
538,2026-03-22,Meta,US
539,2026-07-13,Google,US
540,2026-06-17,Google,US
541,2026-02-27,TikTok,US
542,2026-07-02,TikTok,AU
543,2026-05-23,Google,US
544,2026-07-16,Affiliate,US
545,2026-07-28,Google,UK
546,2026-07-14,TikTok,US
547,2026-07-27,Affiliate,US
548,2026-04-30,Meta,US
549,2026-03-18,Affiliate,CA
550,2026-07-19,TikTok,US
551,2026-06-16,Affiliate,US
552,2026-07-23,Meta,US
553,2026-07-30,Google,EU
554,2026-07-21,Affiliate,US
555,2026-07-17,Affiliate,US
556,2026-05-07,Meta,UK
557,2026-06-19,Meta,UK
558,2026-06-29,TikTok,US
559,2026-03-05,Meta,US
560,2026-02-28,Google,US
561,2026-01-19,Meta,US
562,2026-07-15,TikTok,US
563,2026-04-11,Meta,CA
564,2026-03-09,Meta,US
565,2026-05-11,Affiliate,AU
566,2026-06-19,TikTok,US
567,2026-06-08,Google,US
568,2026-05-06,Meta,UK
569,2026-07-22,Google,US
570,2026-04-09,Affiliate,US
571,2026-03-16,TikTok,US
572,2026-05-19,TikTok,US
573,2026-06-19,Meta,US
574,2026-06-29,Meta,EU
575,2026-02-04,Affiliate,US
576,2026-06-14,Meta,US
577,2026-06-19,TikTok,CA
578,2026-04-14,Google,US
579,2026-06-18,Meta,AU
580,2026-01-24,Meta,US
581,2026-05-12,Affiliate,US
582,2026-06-05,Meta,US
583,2026-07-29,Meta,US
584,2026-01-25,Meta,AU
585,2026-07-25,Google,US
586,2026-06-28,TikTok,US
587,2026-05-14,Google,US
588,2026-03-24,Meta,US
589,2026-07-22,Organic/Direct,US
590,2026-05-01,Google,CA
591,2026-06-20,Google,US
592,2026-05-20,Organic/Direct,US
593,2026-04-15,Organic/Direct,US
594,2026-06-15,Meta,UK
595,2026-06-21,Meta,US
596,2026-03-20,Meta,US
597,2026-05-05,Google,CA
598,2026-04-18,Meta,UK
599,2026-07-17,TikTok,US
600,2026-07-20,Meta,US
601,2026-06-02,Meta,EU
602,2026-06-17,Google,US
603,2026-02-19,Meta,US
604,2026-07-05,Affiliate,UK
605,2026-03-13,TikTok,US
606,2026-07-15,Meta,US
607,2026-05-08,Organic/Direct,US
608,2026-07-26,Meta,CA
609,2026-06-28,Google,US
610,2026-04-16,Organic/Direct,US
611,2026-07-11,Google,US
612,2026-06-23,Meta,US
613,2026-06-01,Meta,US
614,2026-07-17,Affiliate,CA
615,2026-04-28,Meta,US
616,2026-05-09,Meta,CA
617,2026-07-01,Meta,US
618,2026-07-28,Organic/Direct,CA
619,2026-06-30,Google,CA
620,2026-03-23,Organic/Direct,US
621,2026-06-05,Google,UK
622,2026-01-21,Meta,CA
623,2026-05-10,TikTok,US
624,2026-04-06,Organic/Direct,US
625,2026-07-26,Organic/Direct,US
626,2026-04-22,Meta,US
627,2026-07-14,Google,AU
628,2026-05-23,TikTok,US
629,2026-05-31,Google,US
630,2026-06-12,Meta,UK
631,2026-03-18,Meta,AU
632,2026-07-23,Google,CA
633,2026-05-01,Google,US
634,2026-07-24,Meta,CA
635,2026-03-11,Meta,US
636,2026-04-29,Meta,US
637,2026-07-05,Google,US
638,2026-07-14,Meta,CA
639,2026-04-27,TikTok,US
640,2026-04-08,Affiliate,US
641,2026-06-27,Organic/Direct,US
642,2026-01-11,Organic/Direct,US
643,2026-05-15,Google,UK
644,2026-04-16,Google,CA
645,2026-03-20,Meta,CA
646,2026-07-29,Meta,CA
647,2026-05-09,Google,UK
648,2026-06-11,Meta,CA
649,2026-01-01,Google,CA
650,2026-03-05,Affiliate,CA
651,2026-03-15,Organic/Direct,US
652,2026-07-22,Google,UK
653,2026-05-29,Google,US
654,2026-05-06,Organic/Direct,US
655,2026-05-21,Meta,US
656,2026-06-15,Google,US
657,2026-07-18,Google,US
658,2026-05-11,Google,UK
659,2026-07-08,Meta,EU
660,2026-06-05,Meta,US
661,2026-06-28,Google,CA
662,2026-05-04,Google,US
663,2026-04-20,Meta,US
664,2026-02-06,Meta,CA
665,2026-05-25,Meta,US
666,2026-04-12,Meta,US
667,2026-04-14,Google,CA
668,2026-07-01,TikTok,EU
669,2026-06-10,Organic/Direct,US
670,2026-07-24,Organic/Direct,US
671,2026-04-13,Meta,UK
672,2026-05-07,Google,UK
673,2026-05-06,Google,US
674,2026-07-25,Affiliate,CA
675,2026-07-27,Google,US
676,2026-01-13,Meta,US
677,2026-01-06,Organic/Direct,US
678,2026-03-18,TikTok,AU
679,2026-07-13,Meta,US
680,2026-06-11,Organic/Direct,CA
681,2026-07-14,Affiliate,EU
682,2026-05-09,Organic/Direct,US
683,2026-03-09,Meta,US
684,2026-03-25,Organic/Direct,CA
685,2026-07-26,Google,US
686,2026-07-27,TikTok,AU
687,2026-07-07,Meta,US
688,2026-03-30,Meta,UK
689,2026-03-17,TikTok,EU
690,2026-07-25,Google,EU
691,2026-07-27,Meta,US
692,2026-07-22,Organic/Direct,US
693,2026-06-08,Organic/Direct,US
694,2026-07-02,Meta,EU
695,2026-03-28,Affiliate,US
696,2026-06-27,Google,AU
697,2026-05-22,Meta,US
698,2026-02-11,TikTok,US
699,2026-05-20,Google,US
700,2026-05-16,Affiliate,US
701,2026-05-10,Affiliate,CA
702,2026-06-10,TikTok,US
703,2026-05-22,TikTok,US
704,2026-01-30,Meta,US
705,2026-05-04,Affiliate,US
706,2026-02-27,Organic/Direct,US
707,2026-07-29,Affiliate,UK
708,2026-05-19,Google,US
709,2026-05-20,Meta,US
710,2026-07-28,Google,US
711,2026-07-22,Google,UK
712,2026-04-26,Meta,US
713,2026-06-06,Google,US
714,2026-01-14,Meta,CA
715,2026-06-16,Google,US
716,2026-04-06,Google,EU
717,2026-05-26,Meta,CA
718,2026-05-25,Affiliate,US
719,2026-06-19,Google,US
720,2026-05-11,Meta,US
721,2026-05-20,Meta,CA
722,2026-06-08,Meta,UK
723,2026-03-07,TikTok,CA
724,2026-05-16,TikTok,US
725,2026-01-27,Google,US
726,2026-07-16,Google,AU
727,2026-05-26,Meta,AU
728,2026-06-28,Google,AU
729,2026-07-08,TikTok,UK
730,2026-03-15,TikTok,US
731,2026-07-29,Organic/Direct,CA
732,2026-03-16,Google,EU
733,2026-05-20,Organic/Direct,UK
734,2026-07-12,Meta,AU
735,2026-07-21,Meta,US
736,2026-05-14,Meta,US
737,2026-05-23,Affiliate,CA
738,2026-06-16,Google,US
739,2026-05-16,Meta,US
740,2026-07-03,Organic/Direct,AU
741,2026-06-08,Meta,US
742,2026-06-04,Meta,US
743,2026-05-11,Google,US
744,2026-01-27,Google,UK
745,2026-05-14,Google,AU
746,2026-06-25,Meta,US
747,2026-04-20,Meta,US
748,2026-07-07,Meta,CA
749,2026-07-15,TikTok,EU
750,2026-04-11,Meta,UK
751,2026-07-05,Meta,UK
752,2026-06-14,Meta,US
753,2026-07-21,Google,US
754,2026-06-01,Meta,US
755,2026-07-07,Meta,UK
756,2026-05-15,TikTok,US
757,2026-06-09,Meta,AU
758,2026-04-05,Meta,US
759,2026-02-01,Meta,CA
760,2026-05-30,Google,US
761,2026-01-08,Google,EU
762,2026-05-26,Google,US
763,2026-07-13,Meta,CA
764,2026-03-05,Meta,US
765,2026-07-14,TikTok,US
766,2026-04-10,Meta,US
767,2026-06-20,Google,AU
768,2026-07-27,TikTok,US
769,2026-03-18,Meta,CA
770,2026-04-10,Google,EU
771,2026-06-28,TikTok,US
772,2026-07-19,Affiliate,US
773,2026-04-09,Meta,US
774,2026-06-16,Google,US
775,2026-07-30,Organic/Direct,CA
776,2026-06-08,Google,US
777,2026-06-24,Google,US
778,2026-04-21,Meta,US
779,2026-06-20,Organic/Direct,UK
780,2026-04-02,Google,US
781,2026-02-20,Affiliate,US
782,2026-04-30,Meta,US
783,2026-05-29,Meta,AU
784,2026-05-15,TikTok,US
785,2026-07-30,Affiliate,US
786,2026-06-28,TikTok,UK
787,2026-05-26,Organic/Direct,US
788,2026-04-26,Meta,UK
789,2026-06-07,Meta,US
790,2026-07-01,TikTok,US
791,2026-07-21,Organic/Direct,AU
792,2026-06-20,Meta,US
793,2026-07-16,Google,AU
794,2026-05-09,Google,US
795,2026-03-14,Meta,UK
796,2026-06-10,Google,US
797,2026-04-04,Meta,UK
798,2026-06-03,Google,AU
799,2026-03-23,Organic/Direct,US
800,2026-07-29,Affiliate,EU
801,2026-03-21,Affiliate,US
802,2026-03-01,Meta,EU
803,2026-04-29,Meta,US
804,2026-04-07,TikTok,US
805,2026-03-25,TikTok,CA
806,2026-03-17,Google,US
807,2026-05-19,Google,US
808,2026-06-04,TikTok,EU
809,2026-07-19,TikTok,US
810,2026-01-29,Meta,UK
811,2026-04-11,Affiliate,US
812,2026-03-09,Google,US
813,2026-01-14,Meta,UK
814,2026-06-12,Meta,AU
815,2026-07-30,Meta,AU
816,2026-05-07,Meta,EU
817,2026-07-22,Google,US
818,2026-06-29,Meta,UK
819,2026-06-12,Meta,US
820,2026-06-20,Meta,AU
821,2026-04-17,Google,US
822,2026-07-30,TikTok,UK
823,2026-01-30,TikTok,US
824,2026-05-11,Google,US
825,2026-03-24,TikTok,UK
826,2026-04-26,TikTok,UK
827,2026-04-20,Google,US
828,2026-07-12,Meta,UK
829,2026-03-14,Meta,US
830,2026-04-05,Meta,US
831,2026-06-02,Meta,UK
832,2026-04-25,Meta,US
833,2026-04-07,Organic/Direct,US
834,2026-01-12,TikTok,AU
835,2026-07-12,TikTok,US
836,2026-03-05,Google,UK
837,2026-03-09,Meta,US
838,2026-07-29,Meta,US
839,2026-03-08,Meta,US
840,2026-04-24,Affiliate,US
841,2026-07-01,Meta,CA
842,2026-02-15,TikTok,US
843,2026-05-07,Google,UK
844,2026-07-17,Meta,CA
845,2026-04-01,Google,EU
846,2026-04-21,Google,AU
847,2026-07-08,Google,CA
848,2026-03-12,TikTok,US
849,2026-07-24,Meta,US
850,2026-06-12,Affiliate,UK
851,2026-03-31,Meta,US
852,2026-02-05,Affiliate,EU
853,2026-03-18,Organic/Direct,US
854,2026-05-16,Meta,US
855,2026-04-29,TikTok,UK
856,2026-07-04,Google,US
857,2026-07-28,TikTok,US
858,2026-06-02,TikTok,US
859,2026-06-21,Meta,US
860,2026-06-23,Google,CA
861,2026-06-07,Organic/Direct,US
862,2026-06-19,Meta,CA
863,2026-07-14,Affiliate,US
864,2026-05-28,Meta,EU
865,2026-01-18,Meta,CA
866,2026-03-01,Google,US
867,2026-03-04,Google,US
868,2026-07-28,TikTok,US
869,2026-05-15,Meta,US
870,2026-07-11,TikTok,EU
871,2026-06-18,Affiliate,US
872,2026-06-20,Google,US
873,2026-07-11,Affiliate,CA
874,2026-05-02,TikTok,US
875,2026-06-28,Meta,US
876,2026-03-07,Google,US
877,2026-05-06,Google,CA
878,2026-06-06,Meta,US
879,2026-07-19,Google,CA
880,2026-07-01,Google,US
881,2026-04-04,Meta,AU
882,2026-04-08,Affiliate,US
883,2026-05-03,TikTok,US
884,2026-06-17,TikTok,US
885,2026-07-19,Google,US
